OPENADMET_CANONICAL_SMILES,PXR_pEC50,source,dataset,InChI
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,5.05,ChEMBL,train,GXPHKUHSUJUWKP-UHFFFAOYSA-N
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,5.525,ChEMBL,train,QFJCIRLUMZQUOT-HPLJOQBZSA-N
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,5.3,ChEMBL,train,QJJXYPPXXYFBGM-LFZNUXCKSA-N
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,5.0,ChEMBL,train,YZFWTZACSRHJQD-UHFFFAOYSA-N
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,7.1499999999999995,ChEMBL,train,DTOSIQBPPRVQHS-PDBXOOCHSA-N
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,4.9,ChEMBL,train,CYQFCXCEBYINGO-IAGOWNOFSA-N
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,4.93,ChEMBL,train,GZUITABIAKMVPG-UHFFFAOYSA-N
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,4.52,ChEMBL,train,BLUAFEHZUWYNDE-NNWCWBAJSA-N
O=C(CCCCCCC(=O)Nc1ccccc1)NO,4.525,ChEMBL,train,WAEXFXRVDQXREF-UHFFFAOYSA-N
O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.305,ChEMBL,train,BAINIUMDFURPJM-UHFFFAOYSA-N
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.57,ChEMBL,train,VNFPBHJOKIVQEB-UHFFFAOYSA-N
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.5,ChEMBL,train,PJMPHNIQZUBGLI-UHFFFAOYSA-N
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,4.935,ChEMBL,train,YEEZWCHGZNKEEK-UHFFFAOYSA-N
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,4.9,ChEMBL,train,VHRSUDSXCMQTMA-PJHHCJLFSA-N
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,5.89,ChEMBL,train,FIAFUQMPZJWCLV-UHFFFAOYSA-N
CC[C@@H]1Cc2cc(O)ccc2C2=C1c1ccc(O)cc1C[C@H]2CC,5.07,ChEMBL,train,MASYAWHPJCQLSW-ZIAGYGMSSA-N
